รหัส ISBN (ชื่อเรื่อง),รหัสบาร์โค้ดประจำเล่ม (Copy ID),ชื่อหนังสือ (Book Title),หมายเลขเล่ม,ผู้แต่ง (Author),ราคาปก (บาท),หมวดหมู่หลัก,หมวดหมู่อย่อย,ชั้นวาง (Shelf),สถานะ (Status)
B460101011,B460101011-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 11,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101011,B460101011-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 11,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101011,B460101011-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 11,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101011,B460101011-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 11,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101011,B460101011-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 11,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101012,B460101012-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 12,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101012,B460101012-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 12,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101012,B460101012-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 12,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101012,B460101012-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 12,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101012,B460101012-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 12,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101013,B460101013-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 13,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101013,B460101013-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 13,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101013,B460101013-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 13,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101013,B460101013-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 13,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101013,B460101013-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 13,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101014,B460101014-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 14,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101014,B460101014-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 14,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101014,B460101014-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 14,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101014,B460101014-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 14,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101014,B460101014-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 14,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101015,B460101015-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 15,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101015,B460101015-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 15,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101015,B460101015-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 15,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101015,B460101015-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 15,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101015,B460101015-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 15,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101016,B460101016-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 16,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101016,B460101016-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 16,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101016,B460101016-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 16,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101016,B460101016-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 16,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101016,B460101016-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 16,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101017,B460101017-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 17,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101017,B460101017-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 17,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101017,B460101017-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 17,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101017,B460101017-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 17,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101017,B460101017-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 17,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101018,B460101018-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 18,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101018,B460101018-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 18,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101018,B460101018-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 18,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101018,B460101018-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 18,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101018,B460101018-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 18,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101019,B460101019-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 19,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101019,B460101019-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 19,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101019,B460101019-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 19,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101019,B460101019-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 19,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101019,B460101019-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 19,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101020,B460101020-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 20,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101020,B460101020-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 20,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101020,B460101020-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 20,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101020,B460101020-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 20,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101020,B460101020-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 20,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101021,B460101021-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 21,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101021,B460101021-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 21,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101021,B460101021-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 21,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101021,B460101021-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 21,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101021,B460101021-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 21,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101022,B460101022-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 22,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101022,B460101022-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 22,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101022,B460101022-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 22,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101022,B460101022-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 22,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101022,B460101022-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 22,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101023,B460101023-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 23,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101023,B460101023-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 23,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101023,B460101023-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 23,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101023,B460101023-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 23,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101023,B460101023-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 23,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101024,B460101024-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 24,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101024,B460101024-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 24,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101024,B460101024-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 24,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101024,B460101024-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 24,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101024,B460101024-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 24,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101025,B460101025-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 25,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101025,B460101025-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 25,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101025,B460101025-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 25,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101025,B460101025-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 25,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101025,B460101025-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 25,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101026,B460101026-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 26,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101026,B460101026-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 26,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101026,B460101026-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 26,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101026,B460101026-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 26,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101026,B460101026-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 26,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101027,B460101027-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 27,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101027,B460101027-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 27,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101027,B460101027-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 27,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101027,B460101027-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 27,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101027,B460101027-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 27,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101028,B460101028-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 28,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101028,B460101028-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 28,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101028,B460101028-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 28,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101028,B460101028-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 28,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101028,B460101028-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 28,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101029,B460101029-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 29,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101029,B460101029-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 29,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101029,B460101029-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 29,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101029,B460101029-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 29,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101029,B460101029-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 29,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101030,B460101030-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 30,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101030,B460101030-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 30,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101030,B460101030-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 30,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
