order_id,book_isbn
REC00192,B480101007
REC00192,B570205017
REC00192,B500102096
REC00193,B500102022
REC00194,B490101011
REC00195,B480101071
REC00195,B540204014
REC00195,B550205032
REC00195,B520103027
REC00196,B470101012
REC00196,B470101022
REC00196,B500102066
REC00197,B480101011
REC00198,B460101031
REC00198,B500102088
REC00199,B490101012
REC00199,B550205066
REC00199,B560205002
REC00199,B470101001
REC00200,B570205048
REC00200,B510103013
REC00200,B470101010
REC00200,B460101017
REC00201,B540204001
REC00201,B550205037
REC00201,B520103004
REC00201,B560205029
REC00202,B520103018
REC00202,B480101106
REC00203,B480101093
REC00203,B510103014
REC00203,B520103012
REC00203,B470101006
REC00204,B500102025
REC00204,B490101001
REC00204,B480101022
REC00205,B460101010
REC00205,B500102089
REC00205,B460101027
REC00205,B460101006
REC00206,B550205001
REC00206,B480101092
REC00206,B550205015
REC00206,B570205030
REC00207,B530103002
REC00207,B480101103
REC00208,B480101008
REC00208,B480101099
REC00208,B550205028
REC00209,B470101012
REC00209,B570205038
REC00209,B550205016
REC00209,B570205032
REC00210,B550205029
REC00210,B480101026
REC00210,B500102097
REC00210,B530103036
REC00211,B470101008
REC00211,B480101060
REC00212,B550205027
REC00212,B560205011
REC00213,B540204001
REC00213,B500102087
REC00214,B500102072
REC00214,B560205026
REC00214,B530103041
REC00214,B560205039
REC00215,B480101097
REC00216,B490101012
REC00217,B550205061
REC00218,B560205002
REC00218,B530103009
REC00218,B460101006
REC00218,B560205011
REC00219,B480101067
REC00220,B560205040
REC00220,B480101008
REC00220,B500102068
REC00220,B530103001
REC00221,B570205001
REC00221,B570205035
REC00221,B480101087
REC00222,B500102072
REC00223,B560205012
REC00223,B480101075
REC00223,B480101061
REC00224,B470101023
REC00225,B560205024
REC00226,B540204015
REC00227,B500102007
REC00227,B530103028
REC00228,B550205017
REC00228,B480101037
REC00228,B500102072
REC00229,B510103014
REC00229,B500102104
REC00229,B570205048
REC00229,B560205006
REC00230,B480101062
REC00231,B530103036
REC00231,B500102064
REC00231,B520103036
REC00231,B480101039
REC00232,B550205069
REC00232,B480101006
REC00233,B490101021
REC00233,B480101063
REC00233,B560205026
REC00233,B520103038
REC00234,B480101012
REC00234,B500102025
REC00234,B480101102
REC00234,B550205045
REC00235,B550205070
REC00235,B500102084
REC00236,B500102036
REC00237,B530103006
REC00238,B540204004
REC00238,B570205009
REC00238,B480101080
REC00238,B570205026
REC00239,B570205033
REC00239,B500102051
REC00239,B500102045
REC00239,B570205004
REC00240,B550205008
REC00240,B460101019
REC00240,B530103019
REC00240,B480101087
REC00241,B550205010
REC00241,B500102025
REC00241,B570205042
REC00241,B520103028
REC00242,B560205038
REC00242,B470101004
REC00242,B490101016
REC00242,B550205003
REC00243,B480101050
REC00243,B500102059
REC00244,B460101008
REC00245,B470101009
REC00245,B520103016
REC00245,B510103012
REC00246,B460101023
REC00246,B480101006
REC00246,B530103009
REC00247,B560205005
REC00248,B500102092
REC00248,B480101104
REC00248,B550205026
REC00248,B540204027
REC00249,B530103004
REC00249,B480101032
REC00249,B500102032
REC00250,B480101100
REC00250,B530103009
REC00250,B550205058
REC00251,B490101023
REC00251,B520103014
REC00251,B530103049
REC00251,B480101096
REC00252,B500102057
REC00252,B570205026
REC00252,B550205027
REC00253,B510103001
REC00253,B500102003
REC00253,B480101071
REC00254,B560205001
REC00255,B550205025
REC00255,B480101046
REC00255,B470101005
REC00256,B500102075
REC00256,B460101023
REC00256,B480101085
REC00257,B480101041
REC00257,B560205012
REC00257,B470101015
REC00257,B530103017
REC00258,B550205025
REC00258,B530103005
REC00258,B500102009
REC00259,B560205025
REC00259,B480101087
REC00260,B500102064
REC00260,B470101010
REC00261,B520103020
REC00261,B480101057
REC00261,B550205063
REC00262,B500102043
REC00262,B530103049
REC00262,B470101016
REC00263,B500102080
REC00263,B470101008
REC00263,B470101001
REC00264,B500102010
REC00265,B500102005
REC00265,B480101085
REC00265,B460101026
REC00266,B550205027
REC00267,B460101018
REC00267,B550205054
REC00268,B520103004
REC00268,B460101034
REC00268,B550205019
REC00268,B550205033
REC00269,B480101060
REC00270,B500102010
REC00270,B480101079
REC00270,B550205035
REC00270,B470101007
REC00271,B460101016
REC00272,B500102079
REC00273,B530103049
REC00273,B470101007
REC00273,B480101028
REC00274,B480101044
REC00274,B530103043
REC00274,B550205039
REC00275,B540204005
REC00275,B520103012
REC00275,B460101033
REC00276,B470101003
REC00277,B470101013
REC00278,B560205014
REC00279,B500102047
REC00279,B530103017
REC00279,B550205016
REC00280,B570205047
REC00281,B570205042
REC00281,B530103032
REC00282,B570205029
REC00282,B550205005
REC00282,B500102065
REC00282,B480101104
REC00283,B480101017
REC00284,B540204021
REC00284,B550205077
REC00284,B520103031
REC00284,B550205028
REC00285,B560205025
REC00285,B490101006
REC00285,B480101013
REC00285,B540204017
REC00286,B550205030
REC00286,B500102064
REC00286,B490101026
REC00286,B500102103
REC00287,B490101019
REC00287,B510103004
REC00288,B560205005
REC00288,B480101061
REC00288,B490101026
REC00288,B540204015
REC00289,B550205020
REC00290,B490101017
REC00290,B500102068
REC00290,B540204004
REC00291,B480101085
REC00291,B510103009
REC00291,B550205041
REC00292,B530103020
REC00292,B460101019
REC00292,B540204028
REC00293,B460101003
REC00294,B550205075
REC00294,B480101069
REC00294,B480101032
REC00295,B500102098
REC00295,B520103022
REC00295,B560205010
REC00295,B480101035
REC00296,B500102104
REC00296,B490101027
REC00296,B540204006
REC00296,B500102053
REC00297,B480101051
REC00298,B500102063
REC00298,B530103027
REC00299,B460101001
REC00299,B460101020
REC00299,B550205032
REC00299,B500102035
REC00300,B510103016
REC00300,B570205027
REC00300,B550205063
